BTCUSDT,ETHUSDT
50169.12,2228.91
50150.0,2226.82
50190.68,2235.26
50170.51,2233.89
50268.89,2239.3
50086.03,2225.76
49902.95,2207.76
49889.95,2208.64
49999.99,2220.0
50000.0,2216.99
49767.05,2204.17
49821.69,2215.63
49918.22,2224.64
49882.8,2222.3
49851.45,2220.65
50013.83,2232.67
50088.98,2234.45
50228.35,2242.38
50153.42,2236.0
50100.01,2234.41
50167.98,2238.16
50093.82,2233.02
50242.11,2243.7
50132.66,2237.65
50218.18,2243.62
50165.71,2239.96
50186.54,2243.84
50201.21,2244.23
50374.03,2250.24
50390.95,2245.4
50349.96,2244.33
50289.11,2235.39
50258.62,2238.98
50132.28,2232.6
50197.89,2240.64
50289.01,2243.68
50198.0,2235.65
50261.29,2242.14
50205.01,2238.6
49979.08,2216.87
49865.93,2212.0
49939.97,2219.23
49941.08,2219.01
49837.66,2209.23
49811.94,2203.1
49634.94,2184.79
49674.78,2187.09
49615.54,2187.18
49683.94,2193.43
50160.88,2232.7
50157.31,2233.16
50086.13,2230.05
49967.87,2226.27
49949.39,2230.0
49829.99,2221.64
49703.69,2221.86
49570.71,2217.5
49386.36,2200.82
49461.74,2211.8
49247.02,2197.98
49340.01,2205.19
49525.88,2235.0
49522.99,2252.3
49486.62,2255.04
49316.73,2241.2
49776.05,2282.38
49784.13,2282.51
49801.45,2279.18
49750.95,2280.88
49682.38,2278.93
49431.87,2263.96
49450.0,2269.0
49445.77,2265.27
49342.97,2261.03
49218.85,2252.52
49342.51,2259.5
49381.72,2263.57
49402.99,2266.47
49400.0,2269.91
49509.99,2275.27
49446.2,2271.16
49499.05,2276.51
49455.94,2274.67
49395.67,2273.76
49405.54,2271.5
49517.89,2290.94
49600.0,2290.0
49550.73,2288.0
49522.64,2288.93
49632.14,2293.71
49785.0,2313.94
49686.32,2303.86
49648.73,2300.97
49710.97,2304.9
49606.65,2295.23
49655.26,2294.12
49813.72,2311.42
49801.95,2310.56
49875.77,2321.79
49859.54,2320.64
49836.68,2312.75
49888.33,2315.56
49944.99,2314.56
50062.95,2319.41
50011.53,2312.82
49849.99,2304.56
49829.13,2306.1
49796.58,2308.09
49830.57,2313.39
49846.68,2315.62
49887.43,2318.65
49872.91,2316.62
49760.07,2305.5
49859.57,2317.72
49724.02,2308.79
49792.43,2312.9
49870.0,2326.65
50038.13,2329.47
49992.19,2325.85
50298.99,2340.8
50386.77,2339.89
50410.62,2345.62
50317.13,2343.57
50335.68,2344.51
50272.83,2339.61
50472.45,2349.59
50383.26,2346.32
50545.48,2356.39
50425.32,2344.75
50376.47,2341.91
50350.88,2340.53
50287.47,2339.21
50320.04,2339.77
50267.17,2335.9
50341.56,2346.72
50257.97,2341.59
50131.57,2337.98
50056.55,2321.82
50161.27,2331.95
50173.61,2337.96
50216.2,2347.19
50190.27,2346.57
50160.27,2342.0
50175.0,2342.44
50207.53,2340.42
50179.93,2339.99
50233.51,2345.02
50395.49,2352.0
50253.8,2342.21
50191.4,2340.34
50043.21,2334.64
50022.22,2332.16
49900.01,2320.62
49890.0,2322.17
49962.46,2332.56
49974.59,2331.09
49850.9,2323.0
49889.08,2322.06
49838.38,2323.23
49921.81,2325.89
49804.49,2317.8
49847.39,2317.7
49831.98,2316.91
49799.99,2311.0
49675.24,2302.36
49625.01,2295.23
49618.74,2291.73
49600.05,2287.54
49609.26,2287.73
49739.35,2297.26
49664.08,2297.09
49622.7,2297.63
49692.14,2304.52
49721.88,2306.35
49717.58,2308.58
49662.84,2307.63
49616.3,2299.51
49558.61,2291.97
49699.99,2303.22
49650.24,2297.71
49530.42,2286.06
49622.38,2284.0
49385.49,2269.06
49333.01,2268.57
49411.17,2276.32
49496.56,2283.44
49448.2,2282.55
49393.45,2277.66
49502.07,2285.87
49523.97,2288.67
49473.0,2279.42
49412.45,2273.0
49370.09,2273.96
48592.51,2232.19
48087.38,2215.74
48094.68,2217.51
47923.86,2212.55
47992.6,2221.47
48255.81,2236.92
48199.99,2233.03
48029.42,2220.36
47944.26,2215.28
47765.35,2188.0
47747.89,2195.03
47135.68,2179.45
47513.52,2203.2
47577.21,2217.04
47598.87,2213.01
47957.86,2241.01
47880.67,2239.15
48010.0,2252.99
47914.35,2242.47
47978.66,2246.53
47944.97,2242.67
47913.59,2245.21
48169.27,2261.54
48431.44,2271.5
48609.56,2274.78
48743.4,2280.31
48689.03,2278.76
48621.15,2269.14
48533.53,2261.26
48603.16,2271.06
48593.05,2278.72
48775.42,2289.16
49056.55,2301.67
48916.89,2292.48
48919.33,2294.62
48979.99,2297.5
48879.03,2297.23
48987.66,2304.96
49066.77,2320.49
