BTCUSDT,ETHUSDT
48852.52,3823.44
48878.33,3827.94
48933.79,3834.73
48788.88,3815.55
48722.1,3805.0
48604.33,3788.57
48775.36,3805.09
48797.55,3804.08
48915.72,3816.07
48862.53,3809.19
48941.39,3818.92
48868.12,3809.97
48883.63,3809.58
48842.12,3806.86
48873.96,3808.9
48867.03,3808.1
48852.95,3808.56
48862.87,3809.33
48871.53,3813.99
48900.0,3816.49
48889.81,3817.09
48930.0,3821.62
48924.43,3819.38
48853.82,3809.76
48868.86,3807.81
48864.68,3804.94
48848.19,3804.23
48784.49,3791.0
48822.79,3797.84
48783.67,3791.77
48839.66,3794.3
48834.52,3792.98
48838.96,3792.17
48830.01,3794.62
48866.72,3795.58
48836.17,3793.11
48814.8,3790.52
48760.12,3782.23
48786.47,3787.18
48784.99,3785.65
48792.79,3786.52
48832.47,3792.01
48826.4,3790.76
48829.99,3790.89
48822.98,3790.33
48805.28,3788.38
48785.49,3785.28
48778.68,3782.0
48727.87,3775.81
48715.5,3774.75
48718.33,3774.8
48759.4,3780.68
48748.7,3777.83
48773.25,3779.87
48765.62,3778.9
48740.47,3773.71
48747.01,3776.18
48779.98,3781.04
48784.99,3781.08
48785.18,3778.72
48732.2,3770.78
48717.23,3771.15
48671.91,3768.3
48712.0,3769.04
48725.72,3772.9
48772.47,3777.92
48760.05,3776.18
48751.88,3771.67
48771.49,3775.12
48739.68,3769.71
48792.12,3772.41
48771.94,3767.58
48748.97,3763.26
48726.62,3760.84
48727.18,3756.63
48750.94,3764.12
48703.15,3758.01
48746.91,3763.47
48751.82,3763.92
48755.85,3764.11
48757.26,3764.94
48787.05,3771.86
48822.44,3774.65
48830.36,3775.83
48901.14,3781.33
48942.68,3785.91
48947.2,3781.22
48984.55,3784.32
48983.0,3784.0
49025.39,3783.66
49166.56,3787.96
49233.25,3792.14
49262.17,3797.99
49361.15,3801.05
49327.28,3790.73
49389.65,3792.03
49328.26,3787.09
49375.23,3788.38
49383.22,3790.01
49431.75,3791.37
49427.14,3788.88
49416.01,3787.24
49474.78,3790.41
49499.51,3791.21
49550.04,3788.79
49684.66,3784.69
49780.66,3784.36
49750.51,3785.8
49717.64,3777.85
49733.68,3774.22
49719.38,3774.06
49626.8,3772.34
49676.98,3779.35
49691.78,3775.93
49740.0,3777.77
49794.01,3781.23
49723.63,3774.04
49730.01,3773.42
49672.11,3770.04
