BTCUSDT,ETHUSDT,date
52388.17,1581.14,2021-03-25
52309.79,1583.69,2021-03-25
52732.39,1597.72,2021-03-25
52575.35,1588.77,2021-03-25
52727.78,1593.35,2021-03-25
52727.01,1590.82,2021-03-25
52377.4,1581.13,2021-03-25
52427.52,1583.5,2021-03-25
52442.33,1583.67,2021-03-25
52750.01,1593.43,2021-03-25
52646.9,1589.24,2021-03-25
52626.91,1591.48,2021-03-25
52745.82,1591.51,2021-03-25
52595.97,1584.06,2021-03-25
52400.01,1578.86,2021-03-25
52402.03,1578.96,2021-03-25
52479.29,1580.63,2021-03-25
52403.81,1578.13,2021-03-25
52191.74,1570.15,2021-03-25
52384.43,1576.67,2021-03-25
52549.65,1579.35,2021-03-25
52359.02,1571.1,2021-03-25
52120.21,1563.53,2021-03-25
51830.21,1555.1,2021-03-25
52322.29,1567.63,2021-03-25
52065.92,1558.44,2021-03-25
51854.89,1555.28,2021-03-25
51983.11,1561.99,2021-03-25
52150.03,1569.08,2021-03-25
52216.23,1575.01,2021-03-25
52330.0,1574.02,2021-03-25
52442.53,1579.47,2021-03-25
52390.99,1576.67,2021-03-25
52359.84,1576.37,2021-03-25
52380.87,1575.77,2021-03-25
52255.37,1571.84,2021-03-25
52490.33,1580.4,2021-03-25
52315.19,1574.31,2021-03-25
52295.05,1576.26,2021-03-25
52184.03,1571.0,2021-03-25
52161.65,1572.52,2021-03-25
52003.38,1564.5,2021-03-25
52181.89,1571.47,2021-03-25
51850.75,1561.44,2021-03-25
51988.46,1564.61,2021-03-25
52074.38,1568.46,2021-03-25
52228.0,1573.17,2021-03-25
52122.86,1572.15,2021-03-25
51932.91,1564.93,2021-03-25
52189.61,1573.55,2021-03-25
52350.01,1579.25,2021-03-25
52282.47,1575.49,2021-03-25
52414.35,1580.27,2021-03-25
52417.82,1579.49,2021-03-25
52357.32,1579.83,2021-03-25
52242.88,1575.36,2021-03-25
52347.46,1578.35,2021-03-25
52222.32,1572.56,2021-03-25
52207.33,1572.89,2021-03-25
52250.97,1573.76,2021-03-25
52360.91,1578.54,2021-03-25
52378.98,1578.45,2021-03-25
52490.98,1582.99,2021-03-25
52729.89,1589.05,2021-03-25
52750.8,1588.76,2021-03-25
52805.67,1590.66,2021-03-25
52692.32,1585.62,2021-03-25
52702.19,1586.88,2021-03-25
52675.05,1585.0,2021-03-25
52681.14,1587.82,2021-03-25
52821.73,1590.55,2021-03-25
52686.15,1587.16,2021-03-25
52839.99,1591.18,2021-03-25
53000.01,1593.77,2021-03-25
53180.01,1596.44,2021-03-25
53125.74,1593.86,2021-03-25
53110.0,1593.01,2021-03-25
53023.38,1590.52,2021-03-25
52819.54,1589.6,2021-03-25
52962.86,1593.7,2021-03-25
52853.97,1591.72,2021-03-25
52918.35,1595.53,2021-03-25
52999.98,1596.79,2021-03-25
52975.46,1596.85,2021-03-25
53014.15,1595.65,2021-03-25
53058.89,1597.03,2021-03-25
53058.55,1595.36,2021-03-25
52907.47,1589.34,2021-03-25
52776.35,1585.18,2021-03-25
52851.0,1588.0,2021-03-25
52975.02,1591.7,2021-03-25
52916.39,1590.02,2021-03-25
52756.5,1587.4,2021-03-25
52625.2,1583.12,2021-03-25
52542.0,1580.33,2021-03-25
52270.71,1573.96,2021-03-25
52150.01,1575.32,2021-03-25
52430.05,1588.91,2021-03-25
52408.72,1587.67,2021-03-25
52325.69,1591.66,2021-03-25
52380.01,1596.0,2021-03-25
52369.14,1591.3,2021-03-25
52267.03,1585.76,2021-03-25
52475.34,1590.74,2021-03-25
52712.1,1601.47,2021-03-25
52595.33,1597.0,2021-03-25
