S1,S2,VECM(q),mu,Johansen_slope,stdev,model,w1,w2
AAVEUSDT,DOGEUSDT,1.0,0.0,0.0,0.0071374522401826315,1.0,0.2503591535328987,0.7496408464671013
AAVEUSDT,DOTUSDT,1.0,-3.39403904581672,9.532145650558413e-06,0.0013625263503395022,5.0,-0.7931679797934623,0.20683202020653776
AAVEUSDT,LUNAUSDT,1.0,-3.4688230901898147,1.1124017937583878e-05,0.0014733499710683847,4.0,-0.8192991836957313,0.18070081630426874
AAVEUSDT,MATICUSDT,1.0,0.0,0.0,0.005955853314526606,1.0,-0.11944883415508904,0.880551165844911
AAVEUSDT,SOLUSDT,1.0,-4.101154679818622,1.7703008751417915e-05,0.0020752923080050475,5.0,-0.8991341056638849,0.10086589433611526
ADAUSDT,BUSDUSDT,0.0,0.0,0.0,6.728398905503579e-05,1.0,0.0015485749079023627,0.9984514250920976
ADAUSDT,LUNAUSDT,0.0,-1.006799580787186,0.0,0.0014990606254576629,2.0,0.7126117612352573,-0.2873882387647428
ADAUSDT,SANDUSDT,0.0,-0.2898814094129063,0.0,0.0018914424413722798,2.0,0.7114356736534518,-0.2885643263465482
BCHUSDT,BUSDUSDT,0.0,0.0,0.0,5.688328491245958e-05,1.0,5.796806637186758e-05,0.9999420319336282
BCHUSDT,MATICUSDT,0.0,0.0,0.0,0.006331112127774315,1.0,-0.10272039167916856,0.8972796083208315
BNBUSDT,BUSDUSDT,0.0,0.0,0.0,5.4887728817155896e-05,1.0,5.616933443692765e-05,0.999943830665563
BNBUSDT,SANDUSDT,0.0,-4.260484012852221,0.0,0.0011438590428812035,3.0,-0.7434556722169123,0.2565443277830877
BTCUSDT,BUSDUSDT,0.0,0.0,0.0,5.125724310322944e-05,1.0,3.265882717889626e-05,0.9999673411728212
BTCUSDT,SANDUSDT,0.0,-7.653180943336425,0.0,0.0007299524754890176,2.0,-0.7464679307862979,0.25353206921370214
BUSDUSDT,DOTUSDT,0.0,0.0,0.0,5.4365331602149757e-05,1.0,0.9998921121258006,0.00010788787419941581
BUSDUSDT,ETHUSDT,0.0,0.0,0.0,5.582009023748334e-05,1.0,0.9999573470671264,4.265293287370572e-05
BUSDUSDT,FTMUSDT,0.0,0.0,0.0,7.876735106456284e-05,1.0,0.9987782015853827,0.0012217984146173039
BUSDUSDT,LUNAUSDT,0.0,0.0,0.0,6.789699246804032e-05,1.0,0.9999134168247853,8.658317521469287e-05
